iter	Logloss
0	0.6873701351
1	0.6811689063
2	0.6754393344
3	0.6689380539
4	0.6629882948
5	0.6578248502
6	0.6520496853
7	0.6470218967
8	0.6415732481
9	0.6370411001
10	0.632472971
11	0.627899762
12	0.6232026608
13	0.6176638158
14	0.612898274
15	0.6083499376
16	0.6034800744
17	0.5995752183
18	0.5961887123
19	0.5916778562
20	0.5868955502
21	0.5835971865
22	0.5795175378
23	0.5760416351
24	0.5721483526
25	0.5687178662
26	0.5651088198
27	0.561035181
28	0.5573242225
29	0.5539675787
30	0.5499535789
31	0.5461753055
32	0.5426501683
33	0.5394474344
34	0.5362051098
35	0.533508009
36	0.5303418363
37	0.5274742695
38	0.524769359
39	0.5219368404
40	0.5194476536
41	0.5168866085
42	0.5136764028
43	0.5105942749
44	0.507152387
45	0.5048412404
46	0.502417662
47	0.5004113108
48	0.4983592709
49	0.4956359703
50	0.4929104502
51	0.4904036622
52	0.4883180442
53	0.4857982742
54	0.4832265962
55	0.4813923096
56	0.4796480547
57	0.4777733391
58	0.4756276437
59	0.4734202207
60	0.4717579149
61	0.4696469594
62	0.4684308697
63	0.4667329897
64	0.4646406364
65	0.4630235093
66	0.4609067166
67	0.4589939146
68	0.4568383964
69	0.455059395
70	0.452973268
71	0.4508737476
72	0.4488956679
73	0.4475597749
74	0.4456591624
75	0.4442104673
76	0.4424937245
77	0.4409199676
78	0.4394114606
79	0.4377445899
80	0.4364184348
81	0.43490517
82	0.4331292218
83	0.4316947761
84	0.4301497342
85	0.4288786451
86	0.4272195591
87	0.4257609368
88	0.4240637438
89	0.4225800665
90	0.4215488164
91	0.4203874358
92	0.4191777294
93	0.418027853
94	0.4168718192
95	0.4160498584
96	0.4150656933
97	0.4135835618
98	0.412010269
99	0.4109571739
100	0.4099011283
101	0.4087798074
102	0.4075184862
103	0.4063899039
104	0.4054438611
105	0.404272272
106	0.4027421158
107	0.4018575988
108	0.4009921618
109	0.4003866422
110	0.3991956449
111	0.3984993506
112	0.397233206
113	0.3962091901
114	0.3950258574
115	0.3937305707
116	0.3926846583
