iter	Passed	Remaining
0	17	17001
1	32	16347
2	50	16769
3	66	16635
4	89	17719
5	109	18183
6	129	18378
7	149	18548
8	167	18493
9	191	18994
10	213	19205
11	231	19053
12	247	18785
13	268	18884
14	285	18720
15	303	18683
16	322	18652
17	343	18756
18	363	18789
19	389	19087
20	413	19272
21	435	19337
22	454	19288
23	473	19270
24	495	19314
25	517	19373
26	537	19376
27	558	19396
28	581	19473
29	601	19437
30	624	19525
31	644	19486
32	666	19545
33	692	19667
34	714	19692
35	736	19732
36	759	19755
37	780	19753
38	800	19714
39	819	19668
40	843	19732
41	863	19690
42	886	19724
43	912	19821
44	941	19990
45	961	19938
46	983	19951
47	1006	19957
48	1029	19976
49	1055	20062
50	1074	19996
51	1094	19946
52	1115	19932
53	1132	19838
54	1159	19929
55	1188	20041
56	1213	20068
57	1228	19953
58	1247	19902
59	1264	19817
60	1281	19729
61	1300	19669
62	1319	19624
63	1342	19635
64	1368	19680
65	1385	19603
66	1402	19531
67	1421	19480
68	1439	19424
69	1460	19399
70	1482	19391
71	1499	19331
72	1521	19325
73	1540	19276
74	1561	19262
75	1582	19237
76	1604	19237
77	1623	19185
78	1641	19134
79	1660	19095
80	1683	19097
81	1699	19021
82	1719	18996
83	1738	18962
84	1755	18893
85	1777	18888
86	1801	18908
87	1820	18864
88	1837	18803
89	1856	18773
90	1878	18762
91	1902	18781
92	1923	18764
93	1946	18760
94	1965	18727
95	1984	18688
96	2002	18646
97	2021	18601
98	2046	18621
99	2065	18591
100	2090	18604
101	2107	18556
102	2127	18531
103	2148	18511
104	2165	18458
105	2182	18408
106	2205	18405
107	2233	18446
108	2252	18414
109	2270	18370
110	2287	18318
111	2310	18315
112	2326	18264
113	2345	18232
114	2367	18218
115	2388	18202
116	2405	18152
117	2428	18151
118	2444	18098
119	2464	18073
120	2482	18037
121	2502	18009
122	2523	17994
123	2541	17954
124	2558	17906
125	2574	17855
126	2590	17806
127	2608	17767
128	2630	17757
129	2656	17779
130	2678	17769
131	2700	17756
132	2715	17700
133	2732	17658
134	2748	17609
135	2767	17581
136	2786	17554
137	2805	17527
138	2825	17501
139	2847	17491
140	2865	17455
141	2890	17466
142	2924	17524
143	2942	17490
144	2963	17473
145	2979	17427
146	3001	17418
147	3028	17436
148	3043	17383
149	3061	17346
150	3077	17305
151	3095	17267
152	3112	17232
153	3129	17191
154	3149	17168
155	3166	17131
156	3183	17092
157	3199	17049
158	3219	17029
159	3236	16989
160	3255	16967
161	3279	16963
162	3297	16933
163	3321	16930
164	3338	16895
165	3359	16878
166	3388	16902
167	3410	16891
168	3432	16878
169	3455	16870
170	3474	16842
171	3492	16813
172	3515	16803
173	3534	16778
174	3552	16747
175	3569	16713
176	3585	16672
177	3602	16635
178	3625	16628
179	3643	16599
180	3661	16569
181	3681	16548
182	3699	16515
183	3717	16487
184	3735	16458
185	3756	16440
186	3774	16411
187	3794	16389
188	3820	16394
189	3837	16359
190	3853	16322
191	3875	16310
192	3895	16289
193	3918	16281
194	3941	16270
195	3963	16256
196	3984	16239
197	4005	16223
198	4026	16205
199	4048	16195
200	4072	16189
201	4095	16178
202	4113	16148
203	4129	16111
204	4150	16094
205	4173	16085
206	4191	16057
207	4208	16026
208	4230	16011
209	4247	15977
210	4267	15959
211	4283	15923
212	4307	15915
213	4334	15918
214	4355	15903
215	4376	15883
216	4392	15849
217	4409	15819
218	4425	15783
219	4446	15764
220	4466	15744
221	4487	15726
222	4511	15719
223	4533	15705
224	4549	15669
225	4570	15651
226	4592	15640
227	4611	15613
228	4630	15590
229	4652	15575
230	4670	15549
231	4686	15515
232	4705	15489
233	4727	15474
234	4747	15454
235	4764	15424
236	4779	15388
237	4795	15353
238	4811	15321
239	4828	15290
240	4844	15258
241	4864	15237
242	4896	15253
243	4932	15283
244	4949	15253
245	4966	15222
246	4986	15203
247	5002	15168
248	5019	15138
249	5043	15131
250	5059	15098
251	5076	15069
252	5093	15037
253	5113	15019
254	5136	15005
255	5155	14984
256	5174	14958
257	5191	14931
258	5214	14918
259	5237	14906
260	5255	14879
261	5271	14847
262	5290	14824
263	5306	14792
264	5329	14781
265	5346	14753
266	5365	14730
267	5393	14730
268	5409	14701
269	5435	14696
270	5452	14668
271	5473	14648
272	5493	14629
273	5511	14603
274	5527	14573
275	5544	14543
276	5562	14518
277	5584	14502
278	5608	14492
279	5622	14458
280	5639	14430
281	5657	14403
282	5678	14386
283	5695	14358
284	5710	14325
285	5725	14293
286	5741	14264
287	5759	14237
288	5775	14209
289	5793	14184
290	5809	14153
291	5830	14136
292	5850	14116
293	5870	14097
294	5904	14109
295	5919	14079
296	5947	14077
297	5975	14076
298	5994	14053
299	6016	14038
300	6033	14012
301	6053	13990
302	6070	13965
303	6088	13938
304	6107	13916
305	6127	13897
306	6145	13872
307	6164	13850
308	6183	13828
309	6203	13808
310	6221	13784
311	6239	13757
312	6255	13729
313	6273	13706
314	6290	13680
315	6305	13648
316	6323	13624
317	6339	13596
318	6355	13567
319	6374	13545
320	6390	13518
321	6406	13490
322	6426	13470
323	6442	13442
324	6461	13420
325	6483	13404
326	6506	13391
327	6524	13367
328	6546	13352
329	6563	13325
330	6578	13296
331	6594	13268
332	6609	13239
333	6628	13217
334	6647	13194
335	6662	13166
336	6677	13137
337	6692	13107
338	6711	13086
339	6727	13059
340	6744	13034
341	6761	13008
342	6777	12982
343	6793	12955
344	6810	12930
345	6826	12903
346	6843	12877
347	6872	12876
348	6894	12861
349	6913	12839
350	6929	12812
351	6944	12784
352	6968	12771
353	6983	12744
354	7001	12720
355	7017	12695
356	7032	12666
357	7051	12645
358	7068	12620
359	7084	12595
360	7102	12572
361	7120	12548
362	7139	12528
363	7157	12506
364	7179	12490
365	7200	12472
366	7217	12449
367	7237	12428
368	7258	12411
369	7279	12394
370	7300	12378
371	7319	12357
372	7339	12337
373	7357	12314
374	7378	12297
375	7396	12275
376	7415	12253
377	7435	12234
378	7457	12219
379	7475	12196
380	7501	12187
381	7518	12163
382	7537	12142
383	7554	12118
384	7570	12093
385	7587	12069
386	7604	12045
387	7621	12021
388	7641	12002
389	7658	11979
390	7675	11955
391	7698	11940
392	7714	11914
393	7737	11901
394	7753	11875
395	7770	11851
396	7785	11825
397	7807	11810
398	7824	11786
399	7839	11759
400	7857	11737
401	7882	11726
402	7899	11702
403	7914	11675
404	7932	11653
405	7953	11636
406	7974	11619
407	7991	11595
408	8011	11576
409	8027	11552
410	8043	11527
411	8059	11501
412	8076	11478
413	8092	11454
414	8109	11430
415	8127	11409
416	8143	11385
417	8160	11361
418	8176	11337
419	8195	11317
420	8212	11294
421	8230	11272
422	8245	11247
423	8261	11223
424	8280	11202
425	8297	11179
426	8314	11157
427	8334	11137
428	8351	11115
429	8372	11098
430	8388	11074
431	8405	11051
432	8425	11032
433	8441	11008
434	8462	10991
435	8479	10969
436	8500	10951
437	8521	10933
438	8536	10908
